일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,11.0,0.000,0.070,0.367,0.00
3,0.012,11.0,0.080,0.080,0.367,0.16
4,0.028,12.0,0.090,0.090,0.400,0.18
5,0.044,13.0,0.110,0.110,0.433,0.22
6,0.060,14.0,0.120,0.120,0.467,0.24
7,0.076,15.0,0.140,0.140,0.500,0.28
8,0.091,16.0,0.150,0.150,0.533,0.30
9,0.108,17.0,0.170,0.170,0.567,0.34
10,0.123,17.0,0.180,0.180,0.567,0.36
11,0.140,18.0,0.200,0.200,0.600,0.40
12,0.156,19.0,0.210,0.210,0.633,0.42
13,0.171,20.0,0.230,0.230,0.667,0.46
14,0.188,20.0,0.240,0.240,0.667,0.48
15,0.203,21.0,0.260,0.260,0.700,0.52
16,0.220,22.0,0.270,0.270,0.733,0.54
17,0.235,22.0,0.290,0.290,0.733,0.58
18,0.251,23.0,0.300,0.300,0.767,0.60
19,0.267,23.0,0.320,0.320,0.767,0.64
20,0.283,23.0,0.330,0.330,0.767,0.66
21,0.299,23.0,0.350,0.350,0.767,0.70
22,0.316,23.0,0.360,0.360,0.767,0.72
23,0.332,24.0,0.370,0.370,0.800,0.74
24,0.348,24.0,0.390,0.390,0.800,0.78
25,0.364,25.0,0.400,0.400,0.833,0.80
26,0.380,26.0,0.420,0.420,0.867,0.84
27,0.396,26.0,0.430,0.430,0.867,0.86
28,0.411,27.0,0.450,0.450,0.900,0.90
29,0.427,28.0,0.460,0.460,0.933,0.92
30,0.443,29.0,0.480,0.480,0.967,0.96
31,0.459,30.0,0.490,0.490,1.000,0.98
32,0.475,31.0,0.510,0.510,1.033,1.02
33,0.491,31.0,0.520,0.520,1.033,1.04
34,0.508,31.0,0.540,0.540,1.033,1.08
35,0.524,31.0,0.550,0.550,1.033,1.10
36,0.539,31.0,0.570,0.570,1.033,1.14
37,0.555,29.0,0.580,0.580,0.967,1.16
38,0.572,28.0,0.590,0.590,0.933,1.18
39,0.588,27.0,0.610,0.610,0.900,1.22
40,0.604,27.0,0.620,0.620,0.900,1.24
41,0.620,26.0,0.640,0.640,0.867,1.28
42,0.636,26.0,0.650,0.650,0.867,1.30
43,0.652,26.0,0.670,0.670,0.867,1.34
44,0.668,26.0,0.680,0.680,0.867,1.36
45,0.684,26.0,0.700,0.700,0.867,1.40
46,0.700,27.0,0.710,0.710,0.900,1.42
47,0.716,27.0,0.730,0.730,0.900,1.46
48,0.732,28.0,0.740,0.740,0.933,1.48
49,0.748,29.0,0.760,0.760,0.967,1.52
50,0.764,30.0,0.770,0.770,1.000,1.54
51,0.779,31.0,0.790,0.790,1.033,1.58
52,0.796,32.0,0.800,0.800,1.067,1.60
53,0.811,32.0,0.810,0.810,1.067,1.62
54,0.827,33.0,0.830,0.830,1.100,1.66
55,0.843,34.0,0.840,0.840,1.133,1.68
56,0.859,35.0,0.860,0.860,1.167,1.72
57,0.875,36.0,0.870,0.870,1.200,1.74
58,0.892,37.0,0.890,0.890,1.233,1.78
59,0.908,38.0,0.900,0.900,1.267,1.80
60,0.924,39.0,0.920,0.920,1.300,1.84
61,0.940,39.0,0.930,0.930,1.300,1.86
62,0.956,40.0,0.950,0.950,1.333,1.90
63,0.972,40.0,0.960,0.960,1.333,1.92
64,0.988,40.0,0.980,0.980,1.333,1.96
65,1.003,41.0,0.990,0.990,1.367,1.98
66,1.020,42.0,1.000,1.000,1.400,2.00
67,1.036,43.0,1.020,1.020,1.433,2.04
68,1.052,44.0,1.030,1.030,1.467,2.06
69,1.068,45.0,1.050,1.050,1.500,2.10
70,1.084,46.0,1.060,1.060,1.533,2.12
71,1.100,46.0,1.080,1.080,1.533,2.16
72,1.116,47.0,1.090,1.090,1.567,2.18
73,1.132,47.0,1.110,1.110,1.567,2.22
74,1.148,48.0,1.120,1.120,1.600,2.24
75,1.164,48.0,1.140,1.140,1.600,2.28
76,1.180,49.0,1.150,1.150,1.633,2.30
77,1.196,49.0,1.170,1.170,1.633,2.34
78,1.212,49.0,1.180,1.180,1.633,2.36
79,1.227,49.0,1.190,1.190,1.633,2.38
80,1.244,49.0,1.210,1.210,1.633,2.42
81,1.260,49.0,1.220,1.220,1.633,2.44
82,1.276,50.0,1.240,1.240,1.667,2.48
83,1.292,51.0,1.250,1.250,1.700,2.50
84,1.308,52.0,1.270,1.270,1.733,2.54
85,1.324,53.0,1.280,1.280,1.767,2.56
86,1.340,53.0,1.300,1.300,1.767,2.60
87,1.356,53.0,1.310,1.310,1.767,2.62
88,1.371,53.0,1.330,1.330,1.767,2.66
89,1.388,53.0,1.340,1.340,1.767,2.68
90,1.404,53.0,1.350,1.350,1.767,2.70
91,1.420,53.0,1.370,1.370,1.767,2.74
92,1.436,53.0,1.380,1.380,1.767,2.76
93,1.452,53.0,1.400,1.400,1.767,2.80
94,1.468,51.0,1.410,1.410,1.700,2.82
95,1.484,50.0,1.430,1.430,1.667,2.86
96,1.499,50.0,1.440,1.440,1.667,2.88
97,1.516,50.0,1.460,1.460,1.667,2.92
98,1.532,49.0,1.470,1.470,1.633,2.94
99,1.548,49.0,1.490,1.490,1.633,2.98
100,1.563,48.0,1.500,1.500,1.600,3.00
101,1.579,47.0,1.520,1.520,1.567,3.04
102,1.596,47.0,1.530,1.530,1.567,3.06
103,1.612,46.0,1.540,1.540,1.533,3.08
