일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,10.0,0.000,0.070,0.333,0.00
3,0.010,11.0,0.080,0.080,0.367,0.16
4,0.026,12.0,0.090,0.090,0.400,0.18
5,0.041,12.0,0.110,0.110,0.400,0.22
6,0.057,13.0,0.120,0.120,0.433,0.24
7,0.073,14.0,0.140,0.140,0.467,0.28
8,0.089,14.0,0.150,0.150,0.467,0.30
9,0.105,15.0,0.170,0.170,0.500,0.34
10,0.121,15.0,0.180,0.180,0.500,0.36
11,0.137,16.0,0.200,0.200,0.533,0.40
12,0.153,16.0,0.210,0.210,0.533,0.42
13,0.169,16.0,0.230,0.230,0.533,0.46
14,0.186,17.0,0.240,0.240,0.567,0.48
15,0.202,17.0,0.260,0.260,0.567,0.52
16,0.218,18.0,0.270,0.270,0.600,0.54
17,0.234,18.0,0.290,0.290,0.600,0.58
18,0.249,19.0,0.300,0.300,0.633,0.60
19,0.265,19.0,0.320,0.320,0.633,0.64
20,0.281,19.0,0.330,0.330,0.633,0.66
21,0.298,20.0,0.350,0.350,0.667,0.70
22,0.313,20.0,0.360,0.360,0.667,0.72
23,0.329,20.0,0.370,0.370,0.667,0.74
24,0.345,20.0,0.390,0.390,0.667,0.78
25,0.362,21.0,0.400,0.400,0.700,0.80
26,0.378,21.0,0.420,0.420,0.700,0.84
27,0.393,21.0,0.430,0.430,0.700,0.86
28,0.410,22.0,0.450,0.450,0.733,0.90
29,0.425,22.0,0.460,0.460,0.733,0.92
30,0.441,23.0,0.480,0.480,0.767,0.96
31,0.458,24.0,0.490,0.490,0.800,0.98
32,0.473,25.0,0.510,0.510,0.833,1.02
33,0.490,25.0,0.520,0.520,0.833,1.04
34,0.505,25.0,0.540,0.540,0.833,1.08
35,0.522,25.0,0.550,0.550,0.833,1.10
36,0.538,25.0,0.570,0.570,0.833,1.14
37,0.554,24.0,0.580,0.580,0.800,1.16
38,0.570,24.0,0.590,0.590,0.800,1.18
39,0.585,23.0,0.610,0.610,0.767,1.22
40,0.602,23.0,0.620,0.620,0.767,1.24
41,0.618,22.0,0.640,0.640,0.733,1.28
42,0.633,22.0,0.650,0.650,0.733,1.30
43,0.649,22.0,0.670,0.670,0.733,1.34
44,0.666,22.0,0.680,0.680,0.733,1.36
45,0.682,22.0,0.700,0.700,0.733,1.40
46,0.697,22.0,0.710,0.710,0.733,1.42
47,0.713,22.0,0.730,0.730,0.733,1.46
48,0.729,22.0,0.740,0.740,0.733,1.48
49,0.746,23.0,0.760,0.760,0.767,1.52
50,0.761,23.0,0.770,0.770,0.767,1.54
51,0.777,24.0,0.790,0.790,0.800,1.58
52,0.793,25.0,0.800,0.800,0.833,1.60
53,0.810,25.0,0.810,0.810,0.833,1.62
54,0.826,26.0,0.830,0.830,0.867,1.66
55,0.842,27.0,0.840,0.840,0.900,1.68
56,0.857,27.0,0.860,0.860,0.900,1.72
57,0.873,28.0,0.870,0.870,0.933,1.74
58,0.889,29.0,0.890,0.890,0.967,1.78
59,0.906,29.0,0.900,0.900,0.967,1.80
60,0.922,30.0,0.920,0.920,1.000,1.84
61,0.938,31.0,0.930,0.930,1.033,1.86
62,0.954,31.0,0.950,0.950,1.033,1.90
63,0.970,32.0,0.960,0.960,1.067,1.92
64,0.986,32.0,0.980,0.980,1.067,1.96
65,1.002,33.0,0.990,0.990,1.100,1.98
66,1.017,33.0,1.000,1.000,1.100,2.00
67,1.034,34.0,1.020,1.020,1.133,2.04
68,1.050,34.0,1.030,1.030,1.133,2.06
69,1.066,34.0,1.050,1.050,1.133,2.10
70,1.081,35.0,1.060,1.060,1.167,2.12
71,1.098,35.0,1.080,1.080,1.167,2.16
72,1.114,35.0,1.090,1.090,1.167,2.18
73,1.130,36.0,1.110,1.110,1.200,2.22
74,1.146,36.0,1.120,1.120,1.200,2.24
75,1.162,36.0,1.140,1.140,1.200,2.28
76,1.178,37.0,1.150,1.150,1.233,2.30
77,1.194,37.0,1.170,1.170,1.233,2.34
78,1.209,37.0,1.180,1.180,1.233,2.36
79,1.225,37.0,1.190,1.190,1.233,2.38
80,1.242,38.0,1.210,1.210,1.267,2.42
81,1.258,38.0,1.220,1.220,1.267,2.44
82,1.274,38.0,1.240,1.240,1.267,2.48
83,1.290,38.0,1.250,1.250,1.267,2.50
84,1.306,38.0,1.270,1.270,1.267,2.54
85,1.322,39.0,1.280,1.280,1.300,2.56
86,1.338,39.0,1.300,1.300,1.300,2.60
87,1.353,39.0,1.310,1.310,1.300,2.62
88,1.369,39.0,1.330,1.330,1.300,2.66
89,1.385,39.0,1.340,1.340,1.300,2.68
90,1.402,39.0,1.350,1.350,1.300,2.70
91,1.418,39.0,1.370,1.370,1.300,2.74
92,1.433,39.0,1.380,1.380,1.300,2.76
93,1.450,39.0,1.400,1.400,1.300,2.80
94,1.466,39.0,1.410,1.410,1.300,2.82
95,1.481,39.0,1.430,1.430,1.300,2.86
96,1.498,39.0,1.440,1.440,1.300,2.88
97,1.513,39.0,1.460,1.460,1.300,2.92
98,1.529,39.0,1.470,1.470,1.300,2.94
99,1.545,39.0,1.490,1.490,1.300,2.98
100,1.562,39.0,1.500,1.500,1.300,3.00
101,1.578,39.0,1.510,1.510,1.300,3.02
102,1.594,39.0,1.530,1.530,1.300,3.06
103,1.609,39.0,1.540,1.540,1.300,3.08
