일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kgf],[mm],[mm],[kgf/mm²],[%]
1,0.000,0.0,0.000,0.000,0.000,0.00
2,0.000,11.0,0.000,0.070,0.367,0.00
3,0.010,12.0,0.080,0.080,0.400,0.16
4,0.026,13.0,0.090,0.090,0.433,0.18
5,0.042,14.0,0.110,0.110,0.467,0.22
6,0.058,15.0,0.120,0.120,0.500,0.24
7,0.074,16.0,0.140,0.140,0.533,0.28
8,0.090,17.0,0.150,0.150,0.567,0.30
9,0.106,18.0,0.170,0.170,0.600,0.34
10,0.123,19.0,0.180,0.180,0.633,0.36
11,0.138,20.0,0.200,0.200,0.667,0.40
12,0.154,21.0,0.210,0.210,0.700,0.42
13,0.170,21.0,0.230,0.230,0.700,0.46
14,0.186,22.0,0.240,0.240,0.733,0.48
15,0.202,23.0,0.260,0.260,0.767,0.52
16,0.218,24.0,0.270,0.270,0.800,0.54
17,0.234,25.0,0.290,0.290,0.833,0.58
18,0.250,25.0,0.300,0.300,0.833,0.60
19,0.266,26.0,0.320,0.320,0.867,0.64
20,0.283,26.0,0.330,0.330,0.867,0.66
21,0.298,27.0,0.350,0.350,0.900,0.70
22,0.314,27.0,0.360,0.360,0.900,0.72
23,0.331,28.0,0.370,0.370,0.933,0.74
24,0.346,28.0,0.390,0.390,0.933,0.78
25,0.362,28.0,0.400,0.400,0.933,0.80
26,0.379,28.0,0.420,0.420,0.933,0.84
27,0.394,29.0,0.430,0.430,0.967,0.86
28,0.410,29.0,0.450,0.450,0.967,0.90
29,0.426,30.0,0.460,0.460,1.000,0.92
30,0.442,31.0,0.480,0.480,1.033,0.96
31,0.458,31.0,0.490,0.490,1.033,0.98
32,0.474,32.0,0.510,0.510,1.067,1.02
33,0.490,32.0,0.520,0.520,1.067,1.04
34,0.506,32.0,0.540,0.540,1.067,1.08
35,0.522,30.0,0.550,0.550,1.000,1.10
36,0.538,29.0,0.570,0.570,0.967,1.14
37,0.554,28.0,0.580,0.580,0.933,1.16
38,0.570,28.0,0.600,0.600,0.933,1.20
39,0.586,28.0,0.610,0.610,0.933,1.22
40,0.603,28.0,0.620,0.620,0.933,1.24
41,0.619,28.0,0.640,0.640,0.933,1.28
42,0.634,28.0,0.650,0.650,0.933,1.30
43,0.650,28.0,0.670,0.670,0.933,1.34
44,0.666,28.0,0.680,0.680,0.933,1.36
45,0.682,28.0,0.700,0.700,0.933,1.40
46,0.698,29.0,0.710,0.710,0.967,1.42
47,0.714,30.0,0.730,0.730,1.000,1.46
48,0.731,30.0,0.740,0.740,1.000,1.48
49,0.746,31.0,0.760,0.760,1.033,1.52
50,0.762,32.0,0.770,0.770,1.067,1.54
51,0.778,33.0,0.790,0.790,1.100,1.58
52,0.795,34.0,0.800,0.800,1.133,1.60
53,0.811,34.0,0.810,0.810,1.133,1.62
54,0.826,35.0,0.830,0.830,1.167,1.66
55,0.842,36.0,0.840,0.840,1.200,1.68
56,0.858,37.0,0.860,0.860,1.233,1.72
57,0.874,38.0,0.870,0.870,1.267,1.74
58,0.890,39.0,0.890,0.890,1.300,1.78
59,0.906,39.0,0.900,0.900,1.300,1.80
60,0.922,40.0,0.920,0.920,1.333,1.84
61,0.939,41.0,0.930,0.930,1.367,1.86
62,0.954,42.0,0.950,0.950,1.400,1.90
63,0.970,43.0,0.960,0.960,1.433,1.92
64,0.986,43.0,0.980,0.980,1.433,1.96
65,1.002,44.0,0.990,0.990,1.467,1.98
66,1.018,45.0,1.000,1.000,1.500,2.00
67,1.035,46.0,1.020,1.020,1.533,2.04
68,1.050,46.0,1.030,1.030,1.533,2.06
69,1.067,47.0,1.050,1.050,1.567,2.10
70,1.083,48.0,1.060,1.060,1.600,2.12
71,1.098,48.0,1.080,1.080,1.600,2.16
72,1.114,49.0,1.090,1.090,1.633,2.18
73,1.130,49.0,1.110,1.110,1.633,2.22
74,1.146,50.0,1.120,1.120,1.667,2.24
75,1.162,51.0,1.140,1.140,1.700,2.28
76,1.178,51.0,1.150,1.150,1.700,2.30
77,1.195,52.0,1.170,1.170,1.733,2.34
78,1.211,52.0,1.180,1.180,1.733,2.36
79,1.227,53.0,1.190,1.190,1.767,2.38
80,1.243,53.0,1.210,1.210,1.767,2.42
81,1.259,53.0,1.220,1.220,1.767,2.44
82,1.275,54.0,1.240,1.240,1.800,2.48
83,1.290,54.0,1.250,1.250,1.800,2.50
84,1.306,54.0,1.270,1.270,1.800,2.54
85,1.322,55.0,1.280,1.280,1.833,2.56
86,1.338,55.0,1.300,1.300,1.833,2.60
87,1.355,55.0,1.310,1.310,1.833,2.62
88,1.371,55.0,1.330,1.330,1.833,2.66
89,1.387,55.0,1.340,1.340,1.833,2.68
90,1.402,55.0,1.350,1.350,1.833,2.70
91,1.418,55.0,1.370,1.370,1.833,2.74
92,1.435,55.0,1.380,1.380,1.833,2.76
93,1.451,55.0,1.400,1.400,1.833,2.80
94,1.467,55.0,1.410,1.410,1.833,2.82
95,1.483,54.0,1.430,1.430,1.800,2.86
96,1.499,54.0,1.440,1.440,1.800,2.88
97,1.514,53.0,1.460,1.460,1.767,2.92
98,1.530,53.0,1.470,1.470,1.767,2.94
99,1.547,53.0,1.490,1.490,1.767,2.98
100,1.562,52.0,1.500,1.500,1.733,3.00
101,1.579,52.0,1.520,1.520,1.733,3.04
102,1.595,52.0,1.530,1.530,1.733,3.06
103,1.611,51.0,1.540,1.540,1.700,3.08
